arch,mode,mode_label,cfg,cfg_idx,test_rmse,test_mae,test_r2,val_rmse,epochs_trained
MLP,raw,Raw,cfg000,0,0.25975318515606316,0.19885309001058496,0.9332347332955221,0.2059009131112129,100
MLP,raw,Raw,cfg001,1,0.24024122242782614,0.18320751374827257,0.9428884584328383,0.20603122616512975,98
MLP,raw,Raw,cfg002,2,0.2272314522495565,0.1742871715632564,0.9489064930213899,0.20333958494338766,100
MLP,raw,Raw,cfg003,3,0.22858257869298146,0.17535588968656288,0.9482970789074248,0.20553510787038293,89
MLP,raw,Raw,cfg004,4,0.259408844653131,0.1999008290270519,0.9334116300463535,0.23108975165420279,27
MLP,raw,Raw,cfg005,5,0.23075297829158253,0.17715490685132715,0.9473105754979896,0.2047416825444826,91
MLP,raw,Raw,cfg006,6,0.2342735383814002,0.17852592714174362,0.9456905632273975,0.20528748774116826,80
MLP,raw,Raw,cfg007,7,0.2457531134262346,0.18731391056676916,0.9402377579754468,0.21382472652081447,100
MLP,raw,Raw,cfg008,8,0.2519504803106713,0.193374131675314,0.9371856014035213,0.20605323415075943,100
MLP,raw,Raw,cfg009,9,0.2341105247076619,0.17956817980639242,0.9457661167938001,0.20726953935015877,100
MLP,raw,Raw,cfg010,10,0.24576584155042466,0.18724035265377226,0.9402315673646671,0.20994138870813198,100
MLP,raw,Raw,cfg011,11,0.23687305931686106,0.18053747142485127,0.9444786313648739,0.21030423948959964,100
MLP,raw,Raw,cfg012,12,0.24611229099049656,0.18770895984673303,0.940062940717818,0.20929672180525952,100
MLP,raw,Raw,cfg013,13,0.24743236304341795,0.18752558993160562,0.9394182477787414,0.21494849418909304,100
MLP,raw,Raw,cfg014,14,0.23886380801599066,0.18329332242754282,0.9435414749681024,0.20567958742582093,100
MLP,raw,Raw,cfg015,15,0.24122943336914823,0.18585603798218575,0.942417645584427,0.22601865456849787,76
MLP,raw,Raw,cfg016,16,0.2443929695868994,0.1853379213498284,0.9408974469107938,0.21001777714423514,100
MLP,raw,Raw,cfg017,17,0.24004357074481125,0.18273264299123482,0.942982393592471,0.21912330985976314,94
MLP,db4,Db4,cfg000,0,0.2601798396932868,0.19761826268396301,0.9330152241612631,0.21093091035026035,93
MLP,db4,Db4,cfg001,1,0.24604414179986545,0.18653719227770632,0.9400961296051767,0.21301405241824567,86
MLP,db4,Db4,cfg002,2,0.236611979063259,0.18041960416070565,0.9446009546429608,0.2027530388339458,75
MLP,db4,Db4,cfg003,3,0.24510456200037378,0.18630330474043896,0.9405527712314721,0.2102404673315294,100
MLP,db4,Db4,cfg004,4,0.25678087081241774,0.19628757351579332,0.9347539597796313,0.21263172322757462,100
MLP,db4,Db4,cfg005,5,0.26114900644017125,0.19951974473616188,0.9325152597567339,0.23052293006953237,58
